config_index,K_Eh,Vavg_Eh,Etotal_Eh
209,0.00042742194503184806,-76.46216559043336,-76.46173816848832
210,0.0004273944544855635,-76.46149911635001,-76.46107172189552
211,0.0004274012375594797,-76.46381099326335,-76.46338359202579
212,0.0004274094486437658,-76.46176371047333,-76.46133630102469
213,0.00042741687607975227,-76.45967583340665,-76.45924841653057
214,0.0004273805888404486,-76.45834887849334,-76.4579214979045
215,0.00042737112515320064,-76.46082413534667,-76.46039676422151
216,0.0004273521429108118,-76.46074264129668,-76.46031528915377
217,0.0004273712228676442,-76.45799789879669,-76.45757052757382
218,0.00042741453403424547,-76.45879397580666,-76.45836656127263
219,0.000427389999531194,-76.46201720578,-76.46158981578047
220,0.0004273934475801148,-76.45992590220666,-76.45949850875908
221,0.00042740249054166226,-76.46188855982668,-76.46146115733613
222,0.0004274097794640499,-76.46242048372666,-76.4619930739472
223,0.0004274515998391563,-76.46118994814334,-76.46076249654351
224,0.0004273986877611223,-76.46062627511333,-76.46019887642557
225,0.00042740448619421427,-76.46110687807666,-76.46067947359047
226,0.0004274316422635997,-76.46034190491999,-76.45991447327772
227,0.00042743911387980353,-76.46261594433666,-76.46218850522278
228,0.00042741288362968104,-76.46011145365333,-76.4596840407697
229,0.0004274217022163061,-76.46326922151333,-76.46284179981112
230,0.0004273906484781922,-76.46176509309,-76.46133770244151
231,0.00042743311864086277,-76.46292742535334,-76.4624999922347
232,0.00042741138361328214,-76.46276509664334,-76.46233768525973
233,0.00042741980485713836,-76.46275889177669,-76.46233147197184
234,0.00042735766455589323,-76.46177803522002,-76.46135067755547
235,0.00042741546224108726,-76.46180989713666,-76.46138248167442
236,0.0004274065299368349,-76.46259360860668,-76.46216620207674
237,0.0004274000380903727,-76.46041553489667,-76.45998813485858
238,0.0004273910752230508,-76.45974052653999,-76.45931313546477
239,0.00042744402394392044,-76.4632087938,-76.46278134977607
240,0.00042739999174072515,-76.46247867291666,-76.46205127292492
241,0.0004273832410565609,-76.46307508528001,-76.46264770203895
242,0.00042739278097279405,-76.45880256239,-76.45837516960903
243,0.00042742580998326334,-76.46311032546001,-76.46268289965002
244,0.0004273384258594582,-76.45789978185668,-76.45747244343082
245,0.0004274005809370482,-76.46286626534332,-76.46243886476239
246,0.0004274012561123777,-76.45997740823665,-76.45955000698054
247,0.0004273831158542608,-76.46176644657665,-76.4613390634608
248,0.0004274304857656588,-76.46032205298334,-76.45989462249757
249,0.000427420910445422,-76.46335240732998,-76.46292498641954
250,0.00042739979728863807,-76.45931132920667,-76.45888392940938
251,0.00042739081920568586,-76.46240612412335,-76.46197873330414
252,0.0004273895159104349,-76.4594755281,-76.4590481385841
253,0.0004274116599978074,-76.46266321133,-76.46223579967
254,0.0004274350931786806,-76.46114673228999,-76.46071929719682
255,0.00042742630099863,-76.4601872451,-76.459759818799
256,0.0004273385458187833,-76.46128554181999,-76.46085820327417
257,0.00042735388303507193,-76.45998912438999,-76.45956177050695
258,0.0004274054560973136,-76.46389468179,-76.4634672763339
259,0.0004274069070632478,-76.46300347599335,-76.46257606908628
260,0.00042739050373555645,-76.45974297222331,-76.45931558171958
261,0.0004273959785260544,-76.46358044311,-76.46315304713148
262,0.0004273542255409778,-76.46108601154,-76.46065865731447
263,0.0004274027708668288,-76.46268829669665,-76.46226089392579
264,0.0004274155444799506,-76.46295365499665,-76.46252623945217
265,0.000427425182146905,-76.46034231867334,-76.45991489349119
266,0.00042738460623634476,-76.46284059992333,-76.46241321531708
267,0.00042741872493380227,-76.46367111404334,-76.4632436953184
268,0.0004274269970481316,-76.46239743478,-76.46197000778295
269,0.0004273807046973563,-76.46318667192,-76.4627592912153
270,0.00042741476975524293,-76.46241043588665,-76.4619830211169
271,0.00042740378370038733,-76.46284626685,-76.46241886306629
272,0.00042733060310875837,-76.46180282702332,-76.46137549642022
273,0.0004273917043292012,-76.45969866347998,-76.45927127177565
274,0.000427432448778685,-76.46122101391666,-76.46079358146788
275,0.0004274095134366717,-76.45931280980669,-76.45888540029325
276,0.0004274143546877645,-76.46206887898332,-76.46164146462863
277,0.0004273969173147689,-76.46298517232,-76.46255777540269
278,0.0004274181103700618,-76.46266974420999,-76.46224232609961
279,0.0004274027708668288,-76.46268829669665,-76.46226089392579
280,0.00042738845716921954,-76.46078265303666,-76.46035526457949
281,0.00042740859171960463,-76.46172348861334,-76.46129608002163
282,0.00042741391491679854,-76.46240915135668,-76.46198173744176
283,0.0004273809677506617,-76.46288655275667,-76.46245917178892
